old_curie	current_curie	first_seen	retired_at	chain_length
MIM:1-Naphtylacetic_Acid	MIM:1-naphtylacetic_Acid	2026-06-15T00:17:17-07:00	2026-06-15T00:17:17-07:00	2
MIM:2-~28Methylthio~29ethanol	MIM:2-_Methylthioethanol	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:23_dihydroxybenzoic_acid	MIM:23-dihydroxybenzoic_Acid	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:2_Deoxyinosine	MIM:2-deoxyinosine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:2_Deoxyuridine	MIM:2-deoxyuridine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:3_N_morpholinopropanesulfonic_acid	MIM:3-_N-morpholinopropanesulfonic_Acid	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:4_Guanidinobutyric_acid	MIM:4-guanidinobutyric_Acid	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:5-Deoxy-5-~28methylthio~29adenosine	MIM:5-deoxy-5-_Methylthioadenosine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:5-~282-thienyl~29-pentanoic_Acid	MIM:5-_2-thienyl-pentanoic_Acid	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:5_methyluridine	MIM:5-methyluridine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:6-methoxy-2~283H~29-benzoxazolone	MIM:6-methoxy-2_3h-benzoxazolone	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Acetate_~28carbon_Source~29	MIM:Acetate_Carbon_Source	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Alpha-Toxicarol_~28Dl~29	MIM:Alpha-toxicarol_Dl	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Ammonium_Chloride_~28nitrogen_Source~29	MIM:Ammonium_Chloride_Nitrogen_Source	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Anisodamine_Hydrobromide_~28~29	MIM:Anisodamine_Hydrobromide	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Arabinoxylan_~28Rye_Flour~29	MIM:Arabinoxylan_Rye_Flour	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:B-Glucan_From_Beet_~2812-b-Glucan~29	MIM:B-glucan_From_Beet_12-b-glucan	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Bacto_Tryptic_Soy_Agar_~28Difco~29	MIM:Bacto_Tryptic_Soy_Agar_Difco	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Bacto_Tryptic_Soy_Broth_~28Difco~29	MIM:Bacto_Tryptic_Soy_Broth_Difco	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
